Artist,Title,Medium,Medium_classified,Acquisition_classified,Year_acquisition,Gender_classified,Artist_birth_year,Artist_death_year,Country_calculated,Date_creation_year
Marianna Uutinen,"""Ajelin karvat tänä aamuna""",,graphics,,2007,,1961,,,2000
Dimitri Bulnygin,Uudet Jumalan Hullut,,photography,,2004,,1965,,,1999
Kalervo Palsa,nimetön,,graphics,,1999,,1947,1987,,1967
Carlo Belloli,"""Venezia"", Poeme visuel",,graphics,,1991,,1922,,,1977
Anthony Whishaw,"Landscape, Spain",,graphics,,1991,,1930,,,1981
Oliver Godow,,,,,2011,,1970,,,2005
Mervi Buhl-Kytösalmi,,,video art,,2003,,1948,,,1983
Dimitri Bulnygin,Uudet Jumalan Hullut,,photography,,2004,,1965,,,1999
Gregorio Spini,,,,,1991,,,,,
Lauri Astala,Pieni spektaakkeli keveydestä,,video art,,2007,,1958,,,2005
Tiina Vainio,"Sarjasta ""Toscanan rikkaruohot""",,graphics,,2007,,1960,,,2007
Jaakko Heikkilä,Vesi III,,,,2007,,1956,,,2005
Thórdís Zoëga,Alkupistettä esittävä fotostaatti,,,,1991,,1955,,,1989
Vitantonio Russo,Economia alla specchio,,graphics,,1991,,1932,,,
Outi Pienimäki,Piirustuksia sarjasta Maailma koostuu ykkösestä ja nollasta; Mutantin synnytys,,graphics,,2004,,1959,,,2003
Sinikka Tuominen,Pilvipouta,,painting,,1991,,1947,,,1990
Outi Pienimäki,Piirustuksia sarjasta Maailma koostuu ykkösestä ja nollasta; Super yksilöt,,graphics,,2004,,1959,,,2003
Petri Makkonen,Silikoonilaakson porukkaa,,painting,,2004,,1965,,,2000
Tiina Vainio,"Sarjasta ""Toscanan rikkaruohot""",,graphics,,2007,,1960,,,2007
Dimitri Bulnygin,Kevätfantasioita (Vastarinnan tukkumyyntiä ja vähittäiskauppaa),,,,2004,,1965,,,2003
Thomas Wachweger,Nimetön,,graphics,,1991,,1943,,,1984
Anni Leppälä,Blue room,,object,,2008,,1981,,,2008
