Artist,Title,Medium,Year_acquisition
José Luis Alexanco,S. I. Université de Montréal (S.I. University of Montreal),"Work on paper, Collage",2008
José Luis Alexanco,S. I. Université d'Ottawa (I. S. University of Ottawa),"Work on paper, Collage",2008
José Luis Alexanco,Ingerencia informal (Informal Interference),"Work on paper, Collage",2020
José Luis Alexanco,The Kitchen III,"Work on paper, Collage",2008
José Luis Alexanco,The Kitchen I,"Work on paper, Collage",2008
José Luis Alexanco,The Kitchen IV,"Work on paper, Collage",2008
José Luis Alexanco,The Kitchen II,"Work on paper, Collage",2008
José Luis Alexanco,Por diversos motivos 2 (For Various Reasons 2),"Work on paper, Collage",2008
José Luis Alexanco,Por diversos motivos 1 (For Various Reasons 1),"Work on paper, Collage",2008
Elvira Alfageme Esteban,Planos y líneas (Planes and Lines),Sculpture,1988
Elvira Alfageme Esteban,Yunque (Anvil),Sculpture,1988
Elvira Alfageme Esteban,Torre espacial (Spatial Tower),Sculpture,1988
Andreu Alfaro,Filferro i llauna IV (b) (Wire and Tin IV [b]),Sculpture,1997
Andreu Alfaro,Homenaje a Picasso (Homage to Picasso),Sculpture,1988
Andreu Alfaro,Any 1968. Estampa Popular de València (Year 1968. Estampa Popular de Valencia),Graphic art,2010
Andreu Alfaro,No Title,Sculpture,1997
Andreu Alfaro,No Title,Sculpture,1997
Andreu Alfaro,Mujer tumbada (Lying Woman),Sculpture,1989
Carlos Washington Aliseris Genta,Valle de Aiguá (Valley of Aiguá),Painting,1988
Lara Almarcegui,"Explorando el suelo, Sala Moncada, Barcelona (Exploring the Floor, Sala Moncada, Barcelona )",Photography,2012
Helena Almeida,Desenho habitado (Inhabited Drawing),Photography,2010
Helena Almeida,Desenho habitado (Inhabited Drawing),Photography,2010
Helena Almeida,Desenho habitado (Inhabited Drawing),Photography,2010
Helena Almeida,Sem titulo (Untitled),Photography,1997
Fernando Almela,Romance de ciego (Blind Romance),Painting,2014
Fernando Almela,Espejo de Anita (Anita's Mirror),Painting,2014
Pedro Almodóvar,PA SOL INI,"Work on paper, Drawing",2015
Max Almy,The Perfect Leader,Video,2006
Josep Alumà i Sans,No Title,Photography,2011
Darío Álvarez Basso,La Casa dei Cervi (The House of the Deers),Painting,1998
Manuel Álvarez Bravo,"Manuel Álvarez Bravo, Fotografías (Manuel Álvarez Bravo, Photographs)",Photography,2015
Manuel Álvarez Bravo,Autorretrato (Self-Portrait),Photography,1997
Efrén Álvarez,Democratic Centralism,"Work on paper, Drawing",2019
Efrén Álvarez,Vanguardias históricas (Historical Avant-Gardes),"Work on paper, Drawing",2019
Efrén Álvarez,Flujo circular del dinero. Distinción entre casas (Circular Flow of Money. Distinction Between Houses),"Work on paper, Drawing",2012
Efrén Álvarez,Transacciones de los ricos. La acción (Transactions of the Rich. The Action),"Work on paper, Drawing",2012
Efrén Álvarez,Flujo circular del dinero (Circular Flow of Money),"Work on paper, Drawing",2012
Efrén Álvarez,Flujo circular del dinero. Supervisar (Circular Flow of Money. Supervising),"Work on paper, Drawing",2012
Efrén Álvarez,Flujo circular del dinero. Organizar (Organising. Circular Flow of Money),"Work on paper, Drawing",2012
Efrén Álvarez,Transacciones de los ricos. El inmueble (The Property. Transactions of the Rich),"Work on paper, Drawing",2012
Efrén Álvarez,Flujo circular del dinero (Circular Flow of Money),"Work on paper, Drawing",2012
Efrén Álvarez,Transacciones de los ricos. El negocio (The Business. Transactions of the Rich),"Work on paper, Drawing",2012
Francisco Álvarez,Los abogados del dólar (Lawyers of the Dollar),Graphic art,2011
Francisco Álvarez,Manifestación (Demonstration),Graphic art,2010
Francisco Álvarez,Militares (Soldiers),Graphic art,2010
Francisco Álvarez,Marioneta política (Political Puppet),Graphic art,2010
Francisco Álvarez,La ley del embudo (Funnel Law),Graphic art,2011
Francisco Álvarez,La ley del embudo (The Bottle-Neck Law),Graphic art,2011
Francis Alÿs,Sin título (Untitled),"Work on paper, Collage, Painting",2004
Francis Alÿs,Sin título (Untitled),Painting,2004
Francis Alÿs,Sin título (Untitled),Painting,2004
Francis Alÿs,Sin título (Untitled),"Work on paper, Drawing",2004
Francis Alÿs,Sin título (Untitled),Painting,2004
Francis Alÿs,Sin título (Untitled),"Work on paper, Drawing",2004
Francis Alÿs,Sin título (Untitled),"Work on paper, Drawing",2004
Francis Alÿs,Sin título (Untitled),"Work on paper, Drawing, Work on paper, Collage",2004
Francis Alÿs,Sin título (Untitled),"Work on paper, Drawing",2004
Raymundo Amado,Apocalipopótese (Guerra & Paz) Apocalipopótese (War & Peace),Video,
Tarsila do Amaral,A familia (The Family),Painting,2003
Tarsila do Amaral,Abaporu VI,"Work on paper, Drawing",2003
Eugenio Ampudia,En juego (In Play),Video,2006
Eugenio Ampudia,Chamán (Shaman),"Installation, Video",2007
Ayreen Anastas,STÖRUNG der KOMMUNIKATION bedingt (Interrupted Communication),,2017
Erik Andersen,Opus 74. Version 2,Film,2009
Armando Andrade Tudela,UNSCH / Pikimachay,Installation,2013
Jonathas de Andrade,O Caseiro (The Housekeeper),Video,2017
Carl Andre,Magnesium Copper Plain,"Sculpture, Installation",2008
Claudia Andujar,Vertical 9,Photography,2018
Manuel Ángeles Ortiz,Balcón abierto y plato con pescados (Open Balcony and Plate with Fish),Painting,2016
Manuel Ángeles Ortiz,Bodegón (Still Life),Painting,2000
Manuel Ángeles Ortiz,Sin título (Untitled),Painting,1997
Manuel Ángeles Ortiz,Retrato de Marcelino Domingo (Portrait of Marcelino Domingo),Painting,1988
Manuel Ángeles Ortiz,Sin título (Untitled),Sculpture,2016
Manuel Ángeles Ortiz,"Agua, plantas y animales (Water, Plants and Animals)","Work on paper, Drawing",1997
Manuel Ángeles Ortiz,Sin título (Untitled),"Work on paper, Drawing",1997
