,Artist,Title,Year_acquisition,Date_creation_year,Artist_birth_year,Artist_death_year
12793,Albert Edelfelt,"Den 10de Januari 1885, luonnos ruokalistaan tai kirjankuvitusta",1935,1885,1854,1905
12794,Alfred William Finch,Hevosharjoitelma,,,1854,1930
12795,Werner Åström,Alaston,1929,1929,1885,1979
12796,Albert Edelfelt,"Italialainen mies, tutkielma",1935,,1854,1905
12797,Albert Edelfelt,"Rva Dagmar Dippellin muotokuva, sommitteluluonnos",1935,1895,1854,1905
12798,Ilja Repin,Humoristinen kohtaus,,,1844,1930
12799,Ester Helenius,Näkymä keittiöstä,,,1875,1955
12800,Tapani Raittila,"Croquis, seisova nainen",,,1921,2018
12801,Emile Bernard,Kärsimysnäytelmä II,2012,1895,,
12802,Akseli Gallen-Kallela,"Seitsemän veljeksen kuvitusta, painos 1908",,,1865,1931
12803,Pentti Kaskipuro,"luonnos, seisova nainen",,,1930,2010
12804,Viera Bombová,Madonna,,1966,1932,
12805,Pentti Kaskipuro,Liina,,1989,1930,2010
12806,Nina Terno,"Joutsenet, luonnos kolikkokilpailuun",,1988,1935,2003
12807,Pentti Kaskipuro,Heis,,1990,1930,2010
12808,Tapani Raittila,"Croquis, seisova mies",,1996,1921,2018
12811,Niilo Hyttinen,Erään eläkeläisen muotokuva,,1981,1940,2010
12812,Tapani Raittila,"Croquis, seisova nainen",,1985,1921,2018
12813,Akseli Gallen-Kallela,"9 alkukirjainta 10. lukuun, Seitsemän veljeksen kuvitusta",,1906,1865,1931
12814,Albert Edelfelt,Pikkuharjoitelmia Englannista,1935,,1854,1905
12815,Topi Vikstedt,"""Nummisuutarien kuvitusta, kuva siv. 128, Lähtö Hämeenlinnasta",,1923,1891,1930
12816,Oscar Kleineh,"Jalka, akatemiaharjoitelma",1944,1867,1846,1919
12817,Albert Edelfelt,Karikatyyri Hj. Linderistä,1935,,1854,1905
12818,Carl Eneas Sjöstrand,Näköala Olavinlinnan tornin valoaukosta,,1857,1828,1906
12819,Albert Edelfelt,"Luonnos ""Finland i bilder"" -teokseen",1935,,1854,1905
12820,Albert Edelfelt,Mytologinen aihe,1935,1871,1854,1905
12821,Erkki Hervo,Puupiirros,,1972,1924,1994
